table,column,type,required,description
Opportunity,OpportunityId,Autonumber,Yes,Primary identifier
Opportunity,Title,Text,Yes,Concise opportunity name
Opportunity,ProblemStatement,Multiline Text,Yes,Current business problem
Opportunity,CurrentProcess,Multiline Text,Yes,Current-state process summary
Opportunity,FutureProcess,Multiline Text,Yes,Proposed future-state process
Opportunity,PracticeGroup,Choice,Yes,Submitting practice group or service team
Opportunity,BusinessSponsor,Lookup User,Yes,Accountable business sponsor
Opportunity,Owner,Lookup User,Yes,Transformation owner
Opportunity,MonthlyVolume,Whole Number,Yes,Average transactions per month
Opportunity,MinutesPerTransaction,Decimal,Yes,Current handling time
Opportunity,LoadedHourlyRate,Currency,No,Optional benefit assumption
Opportunity,BusinessImpact,Whole Number,Yes,Score from 1 to 5
Opportunity,ClientValue,Whole Number,Yes,Score from 1 to 5
Opportunity,StrategicAlignment,Whole Number,Yes,Score from 1 to 5
Opportunity,Feasibility,Whole Number,Yes,Score from 1 to 5
Opportunity,AdoptionReadiness,Whole Number,Yes,Score from 1 to 5
Opportunity,Effort,Whole Number,Yes,Score from 1 to 5
Opportunity,Risk,Whole Number,Yes,Score from 1 to 5
Opportunity,HoursSavedPotential,Whole Number,Yes,Score from 1 to 5
Opportunity,PriorityScore,Decimal,No,Calculated score from 0 to 100
Opportunity,PriorityBand,Choice,No,Quick Win Strategic Discovery Govern Defer
Opportunity,Stage,Choice,Yes,Submitted Triage Feasibility Governance Pilot Production Benefits Closed
Opportunity,RAGStatus,Choice,Yes,Red Amber Green
Opportunity,TargetDate,Date,No,Target delivery date
Opportunity,ExpectedAnnualHoursSaved,Decimal,No,Expected annual benefit
Opportunity,ValidatedAnnualHoursSaved,Decimal,No,Validated annual benefit
Opportunity,DataClassification,Choice,Yes,Public Internal Confidential Privileged
Opportunity,CreatedOn,DateTime,Yes,System date
GovernanceAssessment,AssessmentId,Autonumber,Yes,Primary identifier
GovernanceAssessment,Opportunity,Lookup Opportunity,Yes,Parent opportunity
GovernanceAssessment,DataRisk,Choice,Yes,Low Medium High Critical
GovernanceAssessment,PrivilegeRisk,Yes/No,Yes,Potential privileged content
GovernanceAssessment,HallucinationImpact,Choice,Yes,Low Medium High Critical
GovernanceAssessment,HumanReviewRequired,Yes/No,Yes,Human decision gate
GovernanceAssessment,ApprovedSources,Multiline Text,Yes,Permitted sources
GovernanceAssessment,RetentionDays,Whole Number,Yes,Approved retention
GovernanceAssessment,ResidualRisk,Choice,Yes,Accepted residual risk
GovernanceAssessment,Decision,Choice,Yes,Pending Approved Conditional Rejected
GovernanceAssessment,Conditions,Multiline Text,No,Conditions of approval
GovernanceAssessment,DecisionBy,Lookup User,No,Decision maker
GovernanceAssessment,DecisionOn,DateTime,No,Decision timestamp
DocumentReview,DocumentReviewId,Autonumber,Yes,Primary identifier
DocumentReview,Opportunity,Lookup Opportunity,Yes,Parent pilot
DocumentReview,FileName,Text,Yes,Uploaded file name
DocumentReview,SharePointUrl,URL,Yes,Document location
DocumentReview,DocumentType,Choice,Yes,Vendor Agreement Engagement Letter Policy Other
DocumentReview,ExtractionJson,Multiline Text,No,Raw structured extraction
DocumentReview,MinimumConfidence,Decimal,No,Lowest field confidence
DocumentReview,RiskIndicators,Multiline Text,No,Detected risk indicators
DocumentReview,ReviewStatus,Choice,Yes,Processing Review Required Approved Rejected Failed
DocumentReview,ReviewedBy,Lookup User,No,Human reviewer
DocumentReview,ReviewedOn,DateTime,No,Review time
AuditEvent,AuditEventId,Autonumber,Yes,Primary identifier
AuditEvent,Opportunity,Lookup Opportunity,No,Related opportunity
AuditEvent,DocumentReview,Lookup DocumentReview,No,Related document
AuditEvent,EventType,Choice,Yes,Submitted Scored Approved Rejected Corrected Failed Notified
AuditEvent,Actor,Lookup User,No,User or service identity
AuditEvent,BeforeValue,Multiline Text,No,Value before change
AuditEvent,AfterValue,Multiline Text,No,Value after change
AuditEvent,Reason,Multiline Text,No,Decision or correction rationale
AuditEvent,OccurredOn,DateTime,Yes,Immutable event timestamp
AdoptionEvent,AdoptionEventId,Autonumber,Yes,Primary identifier
AdoptionEvent,Opportunity,Lookup Opportunity,Yes,Related initiative
AdoptionEvent,User,Lookup User,Yes,Participating user
AdoptionEvent,EventType,Choice,Yes,Invited Trained Activated Feedback Support
AdoptionEvent,OccurredOn,DateTime,Yes,Event timestamp
Feedback,FeedbackId,Autonumber,Yes,Primary identifier
Feedback,Opportunity,Lookup Opportunity,Yes,Related initiative
Feedback,Satisfaction,Whole Number,Yes,Rating from 1 to 5
Feedback,Confidence,Whole Number,Yes,Rating from 1 to 5
Feedback,MinutesSaved,Decimal,No,User-estimated time saved
Feedback,Comments,Multiline Text,No,Open user feedback
Feedback,Theme,Choice,No,Accuracy Training UX Performance Governance Feature
Feedback,Sentiment,Choice,No,Positive Neutral Negative
Feedback,ActionRequired,Yes/No,No,Create improvement action
Feedback,SubmittedOn,DateTime,Yes,Submission timestamp

